UF;COD. UF;COD. MUNIC;MUNICIPIO;POPULAÇÃO ESTIMADA
RN;24;1800;Brejinho;12873
TO;17;3701;Brejinho de Nazaré;5540
MA;21;2101;Brejo;36900
SP;35;7753;Brejo Alegre;2911
PE;26;2605;Brejo da Madre de Deus;51696
MA;21;2150;Brejo de Areia;8841
PB;25;2805;Brejo do Cruz;14287
PI;22;1988;Brejo do Piauí;3824
PB;25;2904;Brejo dos Santos;6479
SE;28;704;Brejo Grande;8396
PA;15;1758;Brejo Grande do Araguaia;7357
CE;23;2503;Brejo Santo;50195
BA;29;4308;Brejões;14155
BA;29;4407;Brejolândia;10675
PA;15;1782;Breu Branco;68597
PA;15;1808;Breves;104280
GO;52;3807;Britânia;5815
RS;43;2659;Brochier;5132
SP;35;7803;Brodowski;25605
SP;35;7902;Brotas;24862
BA;29;4506;Brotas de Macaúbas;10705
MG;31;9006;Brumadinho;41208
BA;29;4605;Brumado;67468
SC;42;2875;Brunópolis;2318
SC;42;2909;Brusque;140597
MG;31;9105;Bueno Brandão;10982
MG;31;9204;Buenópolis;10342
PE;26;2704;Buenos Aires;13224
BA;29;4704;Buerarema;18269
MG;31;9253;Bugre;3984
PE;26;2803;Buíque;59448
AC;12;138;Bujari;10572
PA;15;1907;Bujaru;29717
SP;35;8009;Buri;20050
SP;35;8108;Buritama;17414
MA;21;2200;Buriti;28916
GO;52;3906;Buriti Alegre;9515
MA;21;2309;Buriti Bravo;23993
GO;52;3939;Buriti de Goiás;2464
TO;17;3800;Buriti do Tocantins;11644
PI;22;2000;Buriti dos Lopes;19832
PI;22;2026;Buriti dos Montes;8282
MA;21;2325;Buriticupu;73595
GO;52;3962;Buritinópolis;3272
BA;29;4753;Buritirama;21374
MA;21;2358;Buritirana;15503
MG;31;9303;Buritis;25179
RO;11;452;Buritis;41043
SP;35;8207;Buritizal;4547
MG;31;9402;Buritizeiro;28184
RS;43;2709;Butiá;20963
AM;13;839;Caapiranga;13482
PB;25;3001;Caaporã;22079
MS;50;2407;Caarapó;31005
BA;29;4803;Caatiba;6232
PB;25;3100;Cabaceiras;5710
BA;29;4852;Cabaceiras do Paraguaçu;19010
MG;31;9451;Cabeceira Grande;7025
GO;52;4003;Cabeceiras;8098
PI;22;2059;Cabeceiras do Piauí;10671
PB;25;3209;Cabedelo;69773
RO;11;31;Cabixi;5067
PE;26;2902;Cabo de Santo Agostinho;210796
RJ;33;704;Cabo Frio;234077
MG;31;9501;Cabo Verde;14074
SP;35;8306;Cabrália Paulista;4222
SP;35;8405;Cabreúva;51130
PE;26;3009;Cabrobó;34778
SC;42;3006;Caçador;80017
SP;35;8504;Caçapava;95752
RS;43;2808;Caçapava do Sul;33476
RO;11;601;Cacaulândia;6307
RS;43;2907;Cacequi;12291
MT;51;2504;Cáceres;95339
BA;29;4902;Cachoeira;33659
GO;52;4102;Cachoeira Alta;12843
MG;31;9600;Cachoeira da Prata;3580
GO;52;4201;Cachoeira de Goiás;1336
MG;31;9709;Cachoeira de Minas;11609
MG;31;2704;Cachoeira de Pajeú;9470
PA;15;2004;Cachoeira do Arari;24355
PA;15;1956;Cachoeira do Piriá;35307
RS;43;3004;Cachoeira do Sul;81552
PB;25;3308;Cachoeira dos Índios;10364
GO;52;4250;Cachoeira Dourada;7997
MG;31;9808;Cachoeira Dourada;2720
MA;21;2374;Cachoeira Grande;9524
SP;35;8603;Cachoeira Paulista;33827
RJ;33;803;Cachoeiras de Macacu;59652
PE;26;3108;Cachoeirinha;20618
RS;43;3103;Cachoeirinha;132144
TO;17;3826;Cachoeirinha;2293
ES;32;1209;Cachoeiro de Itapemirim;212172
PB;25;3407;Cacimba de Areia;3708
PB;25;3506;Cacimba de Dentro;17169
PB;25;3555;Cacimbas;7225
AL;27;1209;Cacimbinhas;10920
RS;43;3202;Cacique Doble;5083
RO;11;49;Cacoal;86416
SP;35;8702;Caconde;19031
GO;52;4300;Caçu;16525
BA;29;5008;Caculé;23407
BA;29;5107;Caém;8912
MG;31;9907;Caetanópolis;11869
BA;29;5156;Caetanos;14671
MG;31;10004;Caeté;45364
PE;26;3207;Caetés;29065
BA;29;5206;Caetité;51184
BA;29;5305;Cafarnaum;18585
PR;41;3404;Cafeara;2973
PR;41;3453;Cafelândia;18783
SP;35;8801;Cafelândia;17917
PR;41;3479;Cafezal do Sul;3975
SP;35;8900;Caiabu;4195
MG;31;10103;Caiana;5584
GO;52;4409;Caiapônia;19304
RS;43;3301;Caibaté;4802
SC;42;3105;Caibi;6112
PB;25;3605;Caiçara;7182
RS;43;3400;Caiçara;4659
RN;24;1859;Caiçara do Norte;6572
RN;24;1909;Caiçara do Rio do Vento;3745
RN;24;2006;Caicó;68726
SP;35;9007;Caieiras;104044
BA;29;5404;Cairu;18666
SP;35;9106;Caiuá;6017
SP;35;9205;Cajamar;79034
MA;21;2408;Cajapió;11255
MA;21;2507;Cajari;19521
SP;35;9254;Cajati;28441
PB;25;3704;Cajazeiras;62576
PI;22;2075;Cajazeiras do Piauí;3586
PB;25;3753;Cajazeirinhas;3217
SP;35;9304;Cajobi;10649
AL;27;1308;Cajueiro;21397
PI;22;2083;Cajueiro da Praia;7704
MG;31;10202;Cajuri;3961
SP;35;9403;Cajuru;26613
PE;26;3306;Calçado;10983
AP;16;204;Calçoene;11493
MG;31;10301;Caldas;14600
PB;25;3803;Caldas Brandão;6077
GO;52;4508;Caldas Novas;95183
GO;52;4557;Caldazinha;3900
BA;29;5503;Caldeirão Grande;13452
PI;22;2091;Caldeirão Grande do Piauí;5786
PR;41;3503;Califórnia;8641
SC;42;3154;Calmon;3325
PE;26;3405;Calumbi;5744
BA;29;5602;Camacan;32023
BA;29;5701;Camaçari;309208
MG;31;10400;Camacho;2839
PB;25;3902;Camalaú;6048
BA;29;5800;Camamu;35444
MG;31;10509;Camanducaia;21831
MS;50;2605;Camapuã;13675
RS;43;3509;Camaquã;66686
PE;26;3454;Camaragibe;159945
RS;43;3558;Camargo;2750
PR;41;3602;Cambará;25569
RS;43;3608;Cambará do Sul;6383
PR;41;3701;Cambé;108126
PR;41;3800;Cambira;7967
SC;42;3204;Camboriú;87179
RJ;33;902;Cambuci;15521
MG;31;10608;Cambuí;30068
MG;31;10707;Cambuquira;12810
PA;15;2103;Cametá;140814
CE;23;2602;Camocim;64147
PE;26;3504;Camocim de São Félix;19032
MG;31;10806;Campanário;3739
MG;31;10905;Campanha;16855
AL;27;1357;Campestre;6972
MG;31;11002;Campestre;21052
RS;43;3673;Campestre da Serra;3402
GO;52;4607;Campestre de Goiás;3662
MA;21;2556;Campestre do Maranhão;14530
PR;41;3909;Campina da Lagoa;13888
RS;43;3707;Campina das Missões;5325
SP;35;9452;Campina do Monte Alegre;6088
PR;41;3958;Campina do Simão;3831
PB;25;4009;Campina Grande;413830
PR;41;4006;Campina Grande do Sul;44072
MG;31;11101;Campina Verde;19759
GO;52;4656;Campinaçu;3628
MT;51;2603;Campinápolis;16223
SP;35;9502;Campinas;1223237
PI;22;2109;Campinas do Piauí;5628
RS;43;3806;Campinas do Sul;5422
GO;52;4706;Campinorte;12880
AL;27;1407;Campo Alegre;57997
SC;42;3303;Campo Alegre;11985
GO;52;4805;Campo Alegre de Goiás;7884
BA;29;5909;Campo Alegre de Lourdes;28839
PI;22;2117;Campo Alegre do Fidalgo;5093
MG;31;11150;Campo Azul;3830
MG;31;11200;Campo Belo;54338
SC;42;3402;Campo Belo do Sul;6889
RS;43;3905;Campo Bom;69981
PR;41;4055;Campo Bonito;3694
SE;28;1009;Campo do Brito;18325
MG;31;11309;Campo do Meio;11648
PR;41;4105;Campo do Tenente;8118
SC;42;3501;Campo Erê;8312
MG;31;11408;Campo Florido;8383
BA;29;6006;Campo Formoso;71754
AL;27;1506;Campo Grande;9576
MS;50;2704;Campo Grande;916001
RN;24;1305;Campo Grande;9686
PI;22;2133;Campo Grande do Piauí;5987
PR;41;4204;Campo Largo;135678
PI;22;2174;Campo Largo do Piauí;7342
GO;52;4854;Campo Limpo de Goiás;8087
SP;35;9601;Campo Limpo Paulista;86407
PR;41;4253;Campo Magro;30151
PI;22;2208;Campo Maior;46950
PR;41;4303;Campo Mourão;96102
RS;43;4002;Campo Novo;4273
RO;11;700;Campo Novo de Rondônia;14391
MT;51;2637;Campo Novo do Parecis;36917
RN;24;2105;Campo Redondo;11363
MT;51;2678;Campo Verde;44033
MG;31;11507;Campos Altos;15661
GO;52;4904;Campos Belos;20124
RS;43;4101;Campos Borges;3272
MT;51;2686;Campos de Júlio;7245
SP;35;9700;Campos do Jordão;52713
RJ;33;1009;Campos dos Goytacazes;514643
MG;31;11606;Campos Gerais;28908
TO;17;3842;Campos Lindos;10505
SC;42;3600;Campos Novos;36861
SP;35;9809;Campos Novos Paulista;5028
CE;23;2701;Campos Sales;27513
GO;52;4953;Campos Verdes;1526
PE;26;3603;Camutanga;8592
MG;31;11903;Cana Verde;5585
MG;31;11705;Canaã;4533
PA;15;2152;Canaã dos Carajás;39103
MT;51;2694;Canabrava do Norte;4711
SP;35;9908;Cananéia;12542
AL;27;1605;Canapi;17715
BA;29;6105;Canápolis;9694
MG;31;11804;Canápolis;12251
BA;29;6204;Canarana;26468
MT;51;2702;Canarana;22101
SP;35;9957;Canas;5268
PI;22;2251;Canavieira;3938
BA;29;6303;Canavieiras;30722
BA;29;6402;Candeal;8109
BA;29;6501;Candeias;87820
MG;31;12000;Candeias;14890
RO;11;809;Candeias do Jamari;28068
RS;43;4200;Candelária;31475
BA;29;6600;Candiba;14415
PR;41;4402;Cândido de Abreu;14606
RS;43;4309;Cândido Godói;6106
MA;21;2606;Cândido Mendes;20376
SP;35;10005;Cândido Mota;31410
SP;35;10104;Cândido Rodrigues;2805
BA;29;6709;Cândido Sales;24921
RS;43;4358;Candiota;9707
PR;41;4428;Candói;16126
RS;43;4408;Canela;45957
SC;42;3709;Canelinha;12553
RN;24;2204;Canguaretama;34814
RS;43;4507;Canguçu;56370
SE;28;1108;Canhoba;4003
PE;26;3702;Canhotinho;24743
CE;23;2800;Canindé;77484
SE;28;1207;Canindé de São Francisco;30894
SP;35;10153;Canitar;5365
RS;43;4606;Canoas;349728
SC;42;3808;Canoinhas;54558
BA;29;6808;Cansanção;34929
RR;14;175;Cantá;19257
MG;31;12059;Cantagalo;4575
PR;41;4451;Cantagalo;13340
RJ;33;1108;Cantagalo;20163
MA;21;2705;Cantanhede;22236
PI;22;2307;Canto do Buriti;21326
BA;29;6824;Canudos;16832
RS;43;4614;Canudos do Vale;1693
AM;13;904;Canutama;15981
PA;15;2202;Capanema;69828
PR;41;4501;Capanema;19172
SC;42;3253;Capão Alto;2467
SP;35;10203;Capão Bonito;47098
RS;43;4622;Capão Bonito do Sul;1628
RS;43;4630;Capão da Canoa;55009
RS;43;4655;Capão do Cipó;3745
RS;43;4663;Capão do Leão;25462
MG;31;12109;Caparaó;5464
AL;27;1704;Capela;16907
SE;28;1306;Capela;34808
RS;43;4689;Capela de Santana;12183
SP;35;10302;Capela do Alto;21257
BA;29;6857;Capela do Alto Alegre;11597
MG;31;12208;Capela Nova;4616
MG;31;12307;Capelinha;38321
MG;31;12406;Capetinga;6860
PB;25;4033;Capim;6715
MG;31;12505;Capim Branco;9896
BA;29;6873;Capim Grosso;31055
MG;31;12604;Capinópolis;16294
SC;42;3907;Capinzal;23218
MA;21;2754;Capinzal do Norte;10937
CE;23;2909;Capistrano;17830
RS;43;4697;Capitão;2770
MG;31;12653;Capitão Andrade;5559
PI;22;2406;Capitão de Campos;11471
MG;31;12703;Capitão Enéas;15388
PI;22;2455;Capitão Gervásio Oliveira;4127
PR;41;4600;Capitão Leônidas Marques;15887
PA;15;2301;Capitão Poço;54545
MG;31;12802;Capitólio;8693
SP;35;10401;Capivari;56973
SC;42;3956;Capivari de Baixo;25477
RS;43;4671;Capivari do Sul;4793
AC;12;179;Capixaba;12280
PE;26;3801;Capoeiras;20048
MG;31;12901;Caputira;9318
RS;43;4713;Caraá;8426
RR;14;209;Caracaraí;22635
MS;50;2803;Caracol;6247
PI;22;2505;Caracol;11009
SP;35;10500;Caraguatatuba;125194
MG;31;13008;Caraí;23872
BA;29;6899;Caraíbas;8659
PR;41;4659;Carambeí;24225
MG;31;13107;Caranaíba;3150
MG;31;13206;Carandaí;25831
MG;31;13305;Carangola;33022
RJ;33;936;Carapebus;16859
SP;35;10609;Carapicuíba;405375
MG;31;13404;Caratinga;93124
AM;13;1001;Carauari;28719
PB;25;4074;Caraúbas;4206
RN;24;2303;Caraúbas;20588
PI;22;2539;Caraúbas do Piauí;5910
BA;29;6907;Caravelas;22166
RS;43;4705;Carazinho;62413
MG;31;13503;Carbonita;9423
BA;29;7004;Cardeal da Silva;9395
SP;35;10708;Cardoso;12371
RJ;33;1157;Cardoso Moreira;12818
MG;31;13602;Careaçu;6826
AM;13;1100;Careiro;38820
AM;13;1159;Careiro da Várzea;31459
ES;32;1308;Cariacica;386495
CE;23;3006;Caridade;23011
PI;22;2554;Caridade do Piauí;5102
BA;29;7103;Carinhanha;29118
SE;28;1405;Carira;22393
CE;23;3105;Cariré;18470
TO;17;3867;Cariri do Tocantins;4499
CE;23;3204;Caririaçu;27008
CE;23;3303;Cariús;18700
MT;51;2793;Carlinda;10094
PR;41;4709;Carlópolis;14391
RS;43;4804;Carlos Barbosa;30630
MG;31;13701;Carlos Chagas;18516
RS;43;4853;Carlos Gomes;1327
MG;31;13800;Carmésia;2660
RJ;33;1207;Carmo;19161
MG;31;13909;Carmo da Cachoeira;12193
MG;31;14006;Carmo da Mata;11546
MG;31;14105;Carmo de Minas;15031
MG;31;14204;Carmo do Cajuru;22900
MG;31;14303;Carmo do Paranaíba;30339
MG;31;14402;Carmo do Rio Claro;21310
GO;52;5000;Carmo do Rio Verde;10299
TO;17;3883;Carmolândia;2627
SE;28;1504;Carmópolis;17232
MG;31;14501;Carmópolis de Minas;19756
PE;26;3900;Carnaíba;19666
RN;24;2402;Carnaúba dos Dantas;8297
RN;24;2501;Carnaubais;10972
CE;23;3402;Carnaubal;17763
PE;26;3926;Carnaubeira da Penha;13117
MG;31;14550;Carneirinho;10103
AL;27;1803;Carneiros;9568
RR;14;233;Caroebe;10595
MA;21;2804;Carolina;24151
PE;26;4007;Carpina;85131
MG;31;14600;Carrancas;4052
PB;25;4108;Carrapateira;2714
TO;17;3891;Carrasco Bonito;4165
PE;26;4106;Caruaru;369343
MA;21;2903;Carutapera;24095
MG;31;14709;Carvalhópolis;3614
MG;31;14808;Carvalhos;4445
SP;35;10807;Casa Branca;30655
MG;31;14907;Casa Grande;2251
BA;29;7202;Casa Nova;73092
RS;43;4903;Casca;9070
MG;31;15003;Cascalho Rico;3108
CE;23;3501;Cascavel;72706
PR;41;4808;Cascavel;336073
TO;17;3909;Caseara;5514
RS;43;4952;Caseiros;3228
RJ;33;1306;Casimiro de Abreu;45864
PE;26;4155;Casinhas;14395
PB;25;4157;Casserengue;7530
MG;31;15102;Cássia;17741
SP;35;10906;Cássia dos Coqueiros;2488
MS;50;2902;Cassilândia;22063
PA;15;2400;Castanhal;205667
MT;51;2850;Castanheira;8782
RO;11;908;Castanheiras;2923
GO;52;5059;Castelândia;3380
ES;32;1407;Castelo;37956
PI;22;2604;Castelo do Piauí;19716
SP;35;11003;Castilho;21521
PR;41;4907;Castro;72125
BA;29;7301;Castro Alves;26369
MG;31;15300;Cataguases;75942
GO;52;5109;Catalão;113091
SP;35;11102;Catanduva;123114
PR;41;5003;Catanduvas;10144
SC;42;4004;Catanduvas;11106
CE;23;3600;Catarina;21041
MG;31;15359;Catas Altas;5465
MG;31;15409;Catas Altas da Noruega;3665
PE;26;4205;Catende;43778
SP;35;11201;Catiguá;7905
PB;25;4207;Catingueira;4938
BA;29;7400;Catolândia;3619
PB;25;4306;Catolé do Rocha;30819
BA;29;7509;Catu;55222
RS;43;5009;Catuípe;8631
MG;31;15458;Catuji;6206
CE;23;3659;Catunda;10410
GO;52;5208;Caturaí;5132
BA;29;7558;Caturama;9303
PB;25;4355;Caturité;4898
MG;31;15474;Catuti;4944
CE;23;3709;Caucaia;368918
GO;52;5307;Cavalcante;9740
MG;31;15508;Caxambu;21566
SC;42;4103;Caxambu do Sul;3462
MA;21;3000;Caxias;166159
RS;43;5108;Caxias do Sul;523716
PI;22;2653;Caxingó;5477
RN;24;2600;Ceará-Mirim;74268
MA;21;3109;Cedral;10711
SP;35;11300;Cedral;9452
CE;23;3808;Cedro;25612
PE;26;4304;Cedro;11972
SE;28;1603;Cedro de São João;5929
MG;31;15607;Cedro do Abaeté;1150
SC;42;4152;Celso Ramos;2709
RS;43;5116;Centenário;2865
TO;17;4105;Centenário;2966
PR;41;5102;Centenário do Sul;10704
BA;29;7608;Central;17293
MG;31;15706;Central de Minas;7059
MA;21;3125;Central do Maranhão;8806
MG;31;15805;Centralina;10343
MA;21;3158;Centro do Guilherme;13876
MA;21;3174;Centro Novo do Maranhão;22056
RO;11;56;Cerejeiras;16088
GO;52;5406;Ceres;22407
SP;35;11409;Cerqueira César;20391
SP;35;11508;Cerquilho;50631
RS;43;5124;Cerrito;6005
PR;41;5201;Cerro Azul;17884
RS;43;5132;Cerro Branco;4720
RN;24;2709;Cerro Corá;11182
RS;43;5157;Cerro Grande;2281
RS;43;5173;Cerro Grande do Sul;12579
RS;43;5207;Cerro Largo;14243
SC;42;4178;Cerro Negro;3013
SP;35;11607;Cesário Lange;18595
PR;41;5300;Céu Azul;11872
GO;52;5455;Cezarina;8794
PE;26;4403;Chã de Alegria;13641
PE;26;4502;Chã Grande;21929
AL;27;1902;Chã Preta;7311
MG;31;15904;Chácara;3216
MG;31;16001;Chalé;5695
RS;43;5306;Chapada;9211
TO;17;5102;Chapada da Natividade;3330
TO;17;4600;Chapada de Areia;1415
MG;31;16100;Chapada do Norte;15334
MT;51;3007;Chapada dos Guimarães;22521
MG;31;16159;Chapada Gaúcha;14217
GO;52;5471;Chapadão do Céu;10797
SC;42;4194;Chapadão do Lageado;3025
MS;50;2951;Chapadão do Sul;26499
MA;21;3208;Chapadinha;80705
SC;42;4202;Chapecó;227587
SP;35;11706;Charqueada;17539
RS;43;5355;Charqueadas;41705
RS;43;5371;Charrua;3228
CE;23;3907;Chaval;13112
SP;35;57204;Chavantes;12418
PA;15;2509;Chaves;24175
MG;31;16209;Chiador;2657
RS;43;5405;Chiapetta;3684
PR;41;5409;Chopinzinho;19083
CE;23;3931;Choró;13608
CE;23;3956;Chorozinho;20286
BA;29;7707;Chorrochó;11221
RS;43;5439;Chuí;6832
RO;11;924;Chupinguaia;11755
RS;43;5447;Chuvisca;5518
PR;41;5508;Cianorte;84980
BA;29;7806;Cícero Dantas;32636
PR;41;5607;Cidade Gaúcha;12939
GO;52;5497;Cidade Ocidental;74370
MA;21;3257;Cidelândia;14855
RS;43;5454;Cidreira;16897
BA;29;7905;Cipó;17402
MG;31;16308;Cipotânea;6811
RS;43;5504;Ciríaco;4693
MG;31;16407;Claraval;4873
MG;31;16506;Claro dos Poções;7478
MT;51;3056;Cláudia;12338
MG;31;16605;Cláudio;29093
SP;35;11904;Clementina;8894
PR;41;5706;Clevelândia;16344
BA;29;8002;Coaraci;16128
AM;13;1209;Coari;86713
PI;22;2703;Cocal;27901
PI;22;2711;Cocal de Telha;4908
SC;42;4251;Cocal do Sul;16956
PI;22;2729;Cocal dos Alves;6180
MT;51;3106;Cocalinho;5716
GO;52;5513;Cocalzinho de Goiás;20771
BA;29;8101;Cocos;18835
AM;13;1308;Codajás;29691
MA;21;3307;Codó;123368
MA;21;3406;Coelho Neto;49804
MG;31;16704;Coimbra;7631
AL;27;2009;Coité do Nóia;10594
PI;22;2737;Coivaras;4044
PA;15;2608;Colares;12175
ES;32;1506;Colatina;124283
MT;51;3205;Colíder;33855
SP;35;12001;Colina;18601
MA;21;3505;Colinas;41443
RS;43;5587;Colinas;2466
GO;52;5521;Colinas do Sul;3339
TO;17;5508;Colinas do Tocantins;36271
TO;17;16703;Colméia;8078
MT;51;3254;Colniza;41117
SP;35;12100;Colômbia;6223
PR;41;5805;Colombo;249277
PI;22;2752;Colônia do Gurguéia;6545
PI;22;2778;Colônia do Piauí;7665
AL;27;2108;Colônia Leopoldina;21935
PR;41;5904;Colorado;24271
RS;43;5603;Colorado;3088
RO;11;64;Colorado do Oeste;15213
MG;31;16803;Coluna;8810
TO;17;5557;Combinado;4870
MG;31;16902;Comendador Gomes;3128
RJ;33;951;Comendador Levy Gasparian;8590
MG;31;17009;Comercinho;6624
MT;51;3304;Comodoro;21249
PB;25;4405;Conceição;19030
MG;31;17108;Conceição da Aparecida;10351
ES;32;1605;Conceição da Barra;31479
MG;31;15201;Conceição da Barra de Minas;3939
BA;29;8200;Conceição da Feira;22933
MG;31;17306;Conceição das Alagoas;28782
MG;31;17207;Conceição das Pedras;2814
MG;31;17405;Conceição de Ipanema;4581
RJ;33;1405;Conceição de Macabu;23561
BA;29;8309;Conceição do Almeida;17087
PA;15;2707;Conceição do Araguaia;48115
PI;22;2802;Conceição do Canindé;4811
ES;32;1704;Conceição do Castelo;12887
BA;29;8408;Conceição do Coité;67394
BA;29;8507;Conceição do Jacuípe;33631
MA;21;3554;Conceição do Lago-Açu;16559
MG;31;17504;Conceição do Mato Dentro;17438
MG;31;17603;Conceição do Pará;5558
MG;31;17702;Conceição do Rio Verde;13729
TO;17;5607;Conceição do Tocantins;4070
MG;31;17801;Conceição dos Ouros;11852
SP;35;12209;Conchal;28491
SP;35;12308;Conchas;18138
SC;42;4301;Concórdia;75683
PA;15;2756;Concórdia do Pará;34236
PB;25;4504;Condado;6662
PE;26;4601;Condado;26755
BA;29;8606;Conde;26223
PB;25;4603;Conde;25341
BA;29;8705;Condeúba;17113
RS;43;5702;Condor;6766
MG;31;17836;Cônego Marinho;7730
MG;31;17876;Confins;6867
MT;51;3353;Confresa;32076
PB;25;4702;Congo;4787
MG;31;17900;Congonhal;12209
MG;31;18007;Congonhas;55836
MG;31;18106;Congonhas do Norte;5047
PR;41;6001;Congonhinhas;8896
MG;31;18205;Conquista;6997
MT;51;3361;Conquista D'Oeste;4163
MG;31;18304;Conselheiro Lafaiete;130584
PR;41;6100;Conselheiro Mairinck;3891
MG;31;18403;Conselheiro Pena;22975
MG;31;18502;Consolação;1786
RS;43;5801;Constantina;9903
MG;31;18601;Contagem;673849
PR;41;6209;Contenda;19082
BA;29;8804;Contendas do Sincorá;4025
MG;31;18700;Coqueiral;9099
RS;43;5835;Coqueiro Baixo;1490
AL;27;2207;Coqueiro Seco;5882
RS;43;5850;Coqueiros do Sul;2267
MG;31;18809;Coração de Jesus;26620
BA;29;8903;Coração de Maria;22391
PR;41;6308;Corbélia;17162
RJ;33;1504;Cordeiro;22152
SP;35;12407;Cordeirópolis;25116
BA;29;9000;Cordeiros;8667
SC;42;4350;Cordilheira Alta;4585
MG;31;18908;Cordisburgo;8903
MG;31;19005;Cordislândia;3546
CE;23;4004;Coreaú;23340
PB;25;4801;Coremas;15438
MS;50;3108;Corguinho;6158
BA;29;9109;Coribe;14108
MG;31;19104;Corinto;23607
PR;41;6407;Cornélio Procópio;47840
MG;31;19203;Coroaci;9897
SP;35;12506;Coroados;6197
MA;21;3604;Coroatá;65788
MG;31;19302;Coromandel;27958
RS;43;5871;Coronel Barros;2521
RS;43;5900;Coronel Bicaco;7213
PR;41;6456;Coronel Domingos Soares;7538
RN;24;2808;Coronel Ezequiel;5501
MG;31;19401;Coronel Fabriciano;110709
SC;42;4400;Coronel Freitas;9900
RN;24;2907;Coronel João Pessoa;4918
BA;29;9208;Coronel João Sá;15549
PI;22;2851;Coronel José Dias;4688
SP;35;12605;Coronel Macedo;4591
SC;42;4459;Coronel Martins;2560
MG;31;19500;Coronel Murta;9209
MG;31;19609;Coronel Pacheco;3095
RS;43;5934;Coronel Pilar;1602
MS;50;3157;Coronel Sapucaia;15449
PR;41;6506;Coronel Vivida;20430
MG;31;19708;Coronel Xavier Chaves;3448
MG;31;19807;Córrego Danta;3168
MG;31;19906;Córrego do Bom Jesus;3685
GO;52;5703;Córrego do Ouro;2254
MG;31;19955;Córrego Fundo;6425
MG;31;20003;Córrego Novo;2688
SC;42;4558;Correia Pinto;12315
PI;22;2901;Corrente;26771
PE;26;4700;Correntes;18327
BA;29;9307;Correntina;32243
PE;26;4809;Cortês;12543
MS;50;3207;Corumbá;112669
GO;52;5802;Corumbá de Goiás;11223
GO;52;5901;Corumbaíba;10012
SP;35;12704;Corumbataí;4072
PR;41;6555;Corumbataí do Sul;3038
RO;11;72;Corumbiara;7052
SC;42;4509;Corupá;16300
AL;27;2306;Coruripe;57647
SP;35;12803;Cosmópolis;74662
SP;35;12902;Cosmorama;7289
RO;11;80;Costa Marques;19255
MS;50;3256;Costa Rica;21456
BA;29;9406;Cotegipe;13756
SP;35;13009;Cotia;257882
RS;43;5959;Cotiporã;3824
MT;51;3379;Cotriguaçu;20717
MG;31;20102;Couto de Magalhães de Minas;4436
TO;17;6001;Couto Magalhães;5690
RS;43;5975;Coxilha;2731
MS;50;3306;Coxim;33547
PB;25;4850;Coxixola;1948
AL;27;2355;Craíbas;24396
CE;23;4103;Crateús;75241
CE;23;4202;Crato;133913
SP;35;13108;Cravinhos;35858
BA;29;9505;Cravolândia;5352
SC;42;4608;Criciúma;219393
MG;31;20151;Crisólita;6814
BA;29;9604;Crisópolis;21219
RS;43;6007;Crissiumal;13269
MG;31;20201;Cristais;13060
SP;35;13207;Cristais Paulista;8803
RS;43;6056;Cristal;8121
RS;43;6072;Cristal do Sul;2840
TO;17;6100;Cristalândia;7268
PI;22;3008;Cristalândia do Piauí;8350
MG;31;20300;Cristália;5992
GO;52;6206;Cristalina;61385
MG;31;20409;Cristiano Otoni;5161
GO;52;6305;Cristianópolis;2962
MG;31;20508;Cristina;10211
SE;28;1702;Cristinápolis;18181
PI;22;3107;Cristino Castro;10464
BA;29;9703;Cristópolis;13981
GO;52;6404;Crixás;17136
TO;17;6258;Crixás do Tocantins;1749
CE;23;4236;Croatá;18201
GO;52;6503;Cromínia;3458
MG;31;20607;Crucilândia;5072
CE;23;4251;Cruz;25121
RS;43;6106;Cruz Alta;59561
BA;29;9802;Cruz das Almas;63923
PB;25;4900;Cruz do Espírito Santo;17599
PR;41;6803;Cruz Machado;18772
SP;35;13306;Cruzália;2021
RS;43;6130;Cruzaltense;1765
SP;35;13405;Cruzeiro;82895
MG;31;20706;Cruzeiro da Fortaleza;3651
PR;41;6571;Cruzeiro do Iguaçu;4229
PR;41;6605;Cruzeiro do Oeste;20962
AC;12;203;Cruzeiro do Sul;89760
PR;41;6704;Cruzeiro do Sul;4430
RS;43;6205;Cruzeiro do Sul;12457
RN;24;3004;Cruzeta;7968
MG;31;20805;Cruzília;15529
PR;41;6852;Cruzmaltina;2892
SP;35;13504;Cubatão;132521
PB;25;5006;Cubati;7866
MT;51;3403;Cuiabá;623614
PB;25;5105;Cuité;20331
PB;25;5238;Cuité de Mamanguape;6360
PB;25;5204;Cuitegi;6748
RO;11;940;Cujubim;27131
GO;52;6602;Cumari;2820
PE;26;4908;Cumaru;9494
PA;15;2764;Cumaru do Norte;14044
SE;28;1900;Cumbe;4008
SP;35;13603;Cunha;21373
SC;42;4707;Cunha Porã;11150
SC;42;4756;Cunhataí;1972
MG;31;20839;Cuparaque;5026
PE;26;5004;Cupira;24237
BA;29;9901;Curaçá;35065
PI;22;3206;Curimatá;11461
PA;15;2772;Curionópolis;17764
PR;41;6902;Curitiba;1963726
SC;42;4806;Curitibanos;40037
PR;41;7009;Curiúva;15289
PI;22;3230;Currais;4982
RN;24;3103;Currais Novos;45022
PB;25;5279;Curral de Cima;5209
MG;31;20870;Curral de Dentro;7867
PI;22;3271;Curral Novo do Piauí;5390
PB;25;5303;Curral Velho;2508
